blogliterately(0.8.4-3+b2 [amd64, i386, ppc64el, s390x], 0.8.4-3+b1 [arm64, armel, armhf], 0.8.4-3 [mips, mips64el, mipsel]);websystem
blogofile(0.8b1-1);websystem
blogofile-converters(0.8b1-1);websystem
blosxom(2.1.2-2);websystem
bluedevil(4:5.8.4-1);netutils
bluefish(2.2.9-1+b1);websystem
bluefish-data(2.2.9-1);websystem
bluefish-plugins(2.2.9-1+b1);websystem
bluemon(1.4-6.1+b1);netutils
bmon(1:4.0-1);netutils
boinc(7.6.33+dfsg-12);netutils
boinc-client(7.6.33+dfsg-12);netutils
boinc-client-nvidia-cuda(7.6.33+dfsg-12) [contrib];netutils
boinc-client-opencl(7.6.33+dfsg-12) [contrib];netutils
boinctui(2.4.4-1);netutils
bootp(2.4.3-18+b2);netutils
bootparamd(0.17-9+b2);netutils
bootpc(0.64-7+b2);netutils
bopm(3.1.3-3+b2);netutils
bosixnet-daemon(1.8-1);netutils
bosixnet-webui(1.8-1);netutils
br2684ctl(1:2.5.1-2);netutils
braa(0.82-2);netutils
bridge-utils(1.5-13);netutils
bro(2.5-1);netutils
bro-aux(0.38-1);netutils
bro-common(2.5-1);netutils
broctl(1.4-1);netutils
browser-plugin-freshplayer-libpdf(0.3.5-1+b1) [contrib];websystem
browser-plugin-freshplayer-nacl(0.3.5-1+b1) [contrib];websystem
browser-plugin-freshplayer-pepperflash(0.3.5-1+b1) [contrib];websystem
bti(034-2+b3);netutils
btscanner(2.1-5.1+b2);netutils
bucardo(5.4.1-1);database
buildtorrent(0.8-6);netutils
buxon(0.0.5-5);websystem
bwbar(1.2.3-2.1+b2);netutils
bwctl-client(1.5.4+dfsg1-1+b1);netutils
bwctl-server(1.5.4+dfsg1-1+b1);netutils
bwm-ng(0.6.1-2);netutils
c3270(3.3.14ga11-1+b2) [non-free];netutils
cacti(0.8.8h+ds1-10);websystem
cacti-spine(0.8.8h-3);websystem
cadaver(0.23.3-2+b7);websystem
cakephp(2.8.5-1);websystem
cakephp-scripts(2.8.5-1);websystem
caldav-tester(7.0-3);netutils
caml-crush-server(1.0.8-1+b1);netutils
camo(2.3.0+dfsg-1);websystem
camping(2.1.580-1.1);websystem
can-utils(0.0+git20161220-1);netutils
capiutils(1:3.25+dfsg1-8);netutils
capstats(0.22-1+b1);netutils
carbon-c-relay(2.5-1);netutils
ccnet(6.0.2-2);netutils
cdpr(2.4-1+b2);netutils
ceilometer-agent-central(1:7.0.1-5);websystem
ceilometer-agent-compute(1:7.0.1-5);websystem
ceilometer-agent-ipmi(1:7.0.1-5);websystem
ceilometer-agent-notification(1:7.0.1-5);websystem
ceilometer-alarm-evaluator(1:7.0.1-5);websystem
ceilometer-alarm-notifier(1:7.0.1-5);websystem
ceilometer-api(1:7.0.1-5);websystem
ceilometer-collector(1:7.0.1-5);websystem
ceilometer-common(1:7.0.1-5);websystem
certbot(0.10.2-1);websystem
cewl(5.3-1);websystem
cfingerd(1.4.3-3.2+b1);netutils
cgilib(0.6-1);websystem
cgi-mapserver(7.0.4-2);websystem
cgit(1.1+git2.10.2-3);netutils
cgminer(4.9.2-1+b1);netutils
chai(3.5.0+dfsg-1);websystem
chalow(1.0-4);websystem
chaosreader(0.96-2);netutils
charon-cmd(5.5.1-4+deb9u1) [security];netutils
charon-systemd(5.5.1-4+deb9u1) [security];netutils
charybdis(3.5.3-1+b1);netutils
checkbot(1.80-3);websystem
check-postgres(2.22.0-2);database
chezdav(2.1-1);netutils
chirashi(1.4.0+git20160822+dfsg-4);netutils
chromedriver(60.0.3112.78-1~deb9u1) [security];websystem
chromium(60.0.3112.78-1~deb9u1) [security];websystem
chromium-driver(60.0.3112.78-1~deb9u1) [security];websystem
chromium-lwn4chrome(1.0-2);websystem
chromium-shell(60.0.3112.78-1~deb9u1) [security];websystem
chromium-widevine(60.0.3112.78-1~deb9u1) [contrib] [security];websystem
chronicle(4.6-2);websystem
chrony(3.0-4);netutils
c-icap(1:0.4.4-1);netutils
ciderwebmail(1.05+20150729-2);websystem
cinder-api(2:9.0.0-4);netutils
cinder-backup(2:9.0.0-4);netutils
cinder-common(2:9.0.0-4);netutils
cinder-scheduler(2:9.0.0-4);netutils
cinder-volume(2:9.0.0-4);netutils
citadel-webcit(902-dfsg-4);websystem
ckeditor(4.5.7+dfsg-2);websystem
ckeditor3(3.6.6.1+dfsg-1);websystem
classified-ads(0.11-1+b1);netutils
cleancss(1.0.12-2);websystem
cliofetion(2.2.0-1+b2);netutils
cloudprint(0.14-8);netutils
cloudprint-service(0.14-8);netutils
cl-pgloader(3.3.2+dfsg-1.1);database
clustershell(1.7.3-1);netutils
cmst(2016.10.03-2);netutils
cntlm(0.92.3-1+b1);netutils
coccinella(0.96.20-8);netutils
comgt(0.32-3);netutils
comitup(0.7-1);netutils
compass-blend-modes-plugin(0.0.3+20150331~dfsg-2);websystem
compass-blueprint-plugin(1.0.0-3);websystem
compass-breakpoint-plugin(2.7.1-1);websystem
compass-color-schemer-plugin(0.2.8+20140309-3);websystem
compass-normalize-plugin(6.0.0-2);websystem
compass-sassy-maps-plugin(0.4.0-5);websystem
compass-singularitygs-plugin(1.7.1-1);websystem
compass-toolkit-plugin(2.10.2-1);websystem
congress-common(4.0.0+dfsg1-3);netutils
congress-server(4.0.0+dfsg1-3);netutils
conkeror(1.0.3+git170123-1);websystem
conkeror-spawn-process-helper(1.0.3+git170123-1);websystem
conmux(0.12.0-1);netutils
connect-proxy(1.105-1);netutils
connman(1.33-3+deb9u1) [security];netutils
connman-ui(0~20130115-1+b1);netutils
connman-vpn(1.33-3+deb9u1) [security];netutils
conntrack(1:1.4.4+snapshot20161117-5);netutils
conntrackd(1:1.4.4+snapshot20161117-5);netutils
coquelicot(0.9.6-1);websystem
corebird(1.4.1-1);netutils
corkscrew(2.0-11);netutils
coturn(4.5.0.5-1+b1);netutils
couchapp(1.0.2+dfsg1-1);websystem
coyim(0.3.7-3);netutils
crda(3.18-1);netutils
cricket(1.0.5-21+b1);netutils
cronolog(1.6.2+rpk-1+b2);websystem
crossroads(2.81-2);netutils
cryptcat(20031202-4+b2);netutils
ctdb(2:4.5.8+dfsg-2+deb9u1+b1) [security];netutils
cthumb(4.2-3.1);websystem
ctorrent(1.3.4.dnh3.3.2-5+b1);netutils
cubemap(1.3.2-1);netutils
cups(2.2.1-8);netutils
cups-browsed(1.11.6-3);netutils
cups-bsd(2.2.1-8);netutils
cups-client(2.2.1-8);netutils
cups-common(2.2.1-8);netutils
cups-core-drivers(2.2.1-8);netutils
cups-daemon(2.2.1-8);netutils
cups-filters(1.11.6-3);netutils
cups-filters-core-drivers(1.11.6-3);netutils
cups-ipp-utils(2.2.1-8);netutils
cups-server-common(2.2.1-8);netutils
curl(7.52.1-5);websystem
cutter(1.04-1);netutils
cutycapt(0.0~svn10-0.1);websystem
dacs(1.4.38a-2);websystem
dacs-examples(1.4.38a-2);websystem
daemonlogger(1.2.1-8+b1);netutils
dailystrips(1.0.28-11);netutils
dansguardian(2.10.1.1-5.1+b4);websystem
dante-client(1.4.1+dfsg-5);netutils
dante-server(1.4.1+dfsg-5);netutils
dapl2-utils(2.1.9-1);netutils
darkstat(3.0.719-1+b1);netutils
davical(1.1.5-1);websystem
davix(0.6.4-1.1);netutils
davmail(4.7.3.2438-2);netutils
db5.3-sql-util(5.3.28-12+b1);database
db5.3-util(5.3.28-12+b1);database
dbab(1.3.2-1);netutils
dbeacon(0.4.0-2);netutils
dcap(2.47.10-3);netutils
ddclient(3.8.3-1.1);netutils
ddns3-client(1.8-13);netutils
debian-timeline(38);websystem
debmirror(1:2.26);netutils
debpartial-mirror(0.3.1+nmu1);netutils
default-libmysqlclient-dev(1.0.2);database
default-mysql-client(1.0.2);database
default-mysql-client-core(1.0.2);database
default-mysql-server(1.0.2);database
default-mysql-server-core(1.0.2);database
deluge(1.3.13+git20161130.48cedf63-3);netutils
deluge-common(1.3.13+git20161130.48cedf63-3);netutils
deluge-console(1.3.13+git20161130.48cedf63-3);netutils
deluged(1.3.13+git20161130.48cedf63-3);netutils
deluge-gtk(1.3.13+git20161130.48cedf63-3);netutils
deluge-torrent(1.3.13+git20161130.48cedf63-3);netutils
deluge-web(1.3.13+git20161130.48cedf63-3);netutils
deluge-webui(1.3.13+git20161130.48cedf63-3);netutils
designate(1:3.0.0-4);netutils
designate-agent(1:3.0.0-4);netutils
designate-api(1:3.0.0-4);netutils
designate-central(1:3.0.0-4);netutils
designate-common(1:3.0.0-4);netutils
designate-mdns(1:3.0.0-4);netutils
designate-pool-manager(1:3.0.0-4);netutils
designate-sink(1:3.0.0-4);netutils
designate-zone-manager(1:3.0.0-4);netutils
desproxy(0.1.0~pre3-10);netutils
dhcpcd5(6.10.1-1);netutils
dhcpcd-dbus(0.6.0-1.1+b2);netutils
dhcpcd-gtk(0.6.0-1.1+b1);netutils
dhcpd-pools(2.28-1);netutils
dhcp-helper(1.2-1+b1);netutils
dhcp-probe(1.3.0-10.1+b1);netutils
dhcpstarv(0.2.2-1);netutils
dhis-client(5.5-5+b1);netutils
dhis-dns-engine(5.3-2+b1);netutils
dhis-mx-sendmail-engine(5.0-3+b1);netutils
dhis-server(5.3-2.1+b2);netutils
dhis-tools-dns(5.0-8+b1);netutils
dhis-tools-genkeys(5.0-8+b1);netutils
